code_INSEE;nb_menages_fiscaux_com;nb_personnes_dans_menage_com;Médiane_niv_vie_com;tx_pauvrete_total_com;tx_pauvrete-locataires_com
01290;514;1211;25310;;
01291;328;834;21116;;
01293;64;152;22649;;
01294;348;835;21395;;
01295;218;645;22573;;
01296;157;380;20860;;
01297;307;869;24942;;
01298;55;129;27508;;
01299;185;502;22683;;
01301;1057;2561;23018;;
01302;70;168;25865;;
01303;725;1634;20445;;
01304;1108;2705;20963;11;
01305;1048;2009;18818;14;22
01306;686;1438;19038;;
01307;362;836;21057;;
01308;277;650;34247;;
01309;;;;;
01310;52;129;21423;;
01311;;;;;
01313;2616;6661;40080;13;18
01314;694;1746;22389;;
01317;130;327;22257;;
01318;235;724;24915;;
01319;180;482;23019;;
01320;1500;3710;22445;7;
01321;344;926;24298;;
01322;1718;4741;26086;5;
01323;398;963;20813;;
01325;379;1010;24314;;
01328;180;483;21971;;
01329;74;142;19573;;
01330;78;174;20469;;
01331;78;187;20917;;
01332;284;758;22153;;
01333;1355;3362;24310;;
01334;225;610;21975;;
01335;131;374;21626;;
01336;472;1176;21427;;
01337;511;1270;21335;;
01338;502;1233;20945;;
01339;551;1453;28208;;
01342;189;538;25420;;
01343;680;1769;21178;;
01344;2562;6036;23258;7;20
01345;965;2280;21464;;
01346;347;865;21013;;
01347;752;2036;25567;;
01348;1143;2748;21385;9;
01349;178;484;25939;;
01350;1037;2444;22505;;
01351;573;1545;21183;;
01352;222;554;19747;;
01353;599;1704;24979;;
01354;3737;9200;29749;17;23
01355;193;459;22370;;
01356;75;206;23440;;
01357;193;443;19813;;
01358;176;441;21780;;
01359;94;238;23705;;
01360;618;1529;38170;;
01361;568;1525;26265;;
01362;283;790;25220;;
01363;751;1798;21763;;
01364;326;740;21334;;
01365;446;1149;21938;;
01366;370;1025;22845;;
01367;292;670;19913;;
01368;297;804;21813;;
01369;368;933;25133;;
01370;893;1569;18495;;
01371;482;1284;22867;;
01372;172;413;21480;;
01373;431;1059;22034;;
01374;737;1826;22995;;
01375;309;814;21966;;
01376;1537;3898;21120;10;19
01378;990;2660;24990;;
01379;297;771;21039;;
01380;272;620;20111;;
01381;330;916;21595;;
01382;97;246;24966;;
01383;586;1462;20628;;
01384;946;2035;17868;20;32
01385;401;1012;23938;;
01386;468;1109;24086;;
01387;85;244;21655;;
01388;461;953;19536;;
01389;691;1760;21983;;
01390;436;1129;22012;;
01391;132;283;21491;;
01392;247;699;24119;;
01393;196;543;22385;;
01396;428;962;19360;;
01397;341;834;39085;;
01398;506;1376;23399;;
01399;666;1705;39965;;
01400;65;147;19805;;
01401;688;1788;41367;;
01402;291;663;19362;;
01403;542;1288;20437;;
01404;66;127;21970;;
01405;476;1263;20224;;
01406;73;163;19397;;
01407;424;906;21737;;
01408;266;657;21621;;
01410;131;331;24845;;
01411;122;265;20823;;
01412;219;570;23304;;
01415;207;431;21216;;
01416;442;950;17555;;
01418;378;1109;28080;;
01419;2051;5214;35886;14;19
01420;742;1459;18262;;
01421;323;756;21500;;
01422;549;1372;23329;;
01423;385;1094;24496;;
01424;627;1747;28034;;
01425;114;283;22743;;
01426;1037;2524;21359;;
01427;2764;6728;21173;12;22
01428;45;128;24142;;
01429;256;664;21690;;
01430;241;551;20769;;
01431;518;1257;22669;;
01432;136;296;21884;;
01433;96;266;18430;;
01434;159;447;23679;;
01435;733;1924;36725;;
01436;195;454;40553;;
01437;87;227;18144;;
01439;40;100;21817;;
01441;264;708;21783;;
01443;1976;4573;22386;6;
01444;489;1127;21088;;
01445;241;650;20842;;
01446;526;1477;22932;;
01447;491;1181;20182;;
01448;153;383;29867;;
01449;284;762;23925;;
01450;1384;3628;23894;;
01451;2555;6329;22892;7;17
01452;485;1040;19370;;
01453;297;641;21483;;
01454;396;1031;20638;;
01456;;;;;
01457;1202;2874;20237;10;20
02001;193;509;19361;;
02002;231;583;20268;;
02003;399;1029;21009;;
02004;75;177;17132;;
02005;148;399;21770;;
02006;118;288;19902;;
02007;47;120;22389;;
02008;107;297;19928;;
02009;198;518;20014;;
02010;64;176;19407;;
02011;472;1224;21942;;
02012;;;;;
02013;153;397;19943;;
02014;293;768;21006;;
02015;;;;;
02016;83;225;19194;;
02017;114;303;19195;;
02018;1060;2501;19000;17;35
02019;153;345;18981;;
02020;186;469;18756;;
02021;;;;;
02022;163;414;19164;;
02023;45;108;21631;;
02024;;;;;
02025;134;364;21226;;
02027;96;217;20068;;
02028;1085;2658;20921;11;
02029;142;369;21194;;
02030;113;273;19131;;
02031;275;637;15827;;
02032;91;241;18485;;
02033;;;;;
02034;45;116;19914;;
02035;96;260;16985;;
02036;;;;;
02037;541;1418;20586;;
02038;;;;;
02039;57;148;18942;;
02040;69;184;18321;;
02041;334;833;20724;;
02042;165;404;22456;;
02043;;;;;
02044;;;;;
02046;234;576;20213;;
02047;50;128;18064;;
02048;55;123;21363;;
02049;308;753;21423;;
02050;125;306;17946;;
02051;159;393;23175;;
02052;57;132;17745;;
02053;232;549;23885;;
02054;175;460;21358;;
02055;;;;;
02056;69;186;19839;;
02057;543;1356;16922;;
02058;311;831;18536;;
02059;1167;2653;16038;29;46
02060;105;271;20616;;
02061;86;252;18641;;
02062;50;139;23628;;
02063;146;382;19244;;
02064;1651;3651;18155;18;30
02065;243;605;18785;;
02066;83;190;21539;;
02067;89;223;19901;;
02068;;;;;
02069;47;112;16181;;
02070;181;451;18981;;
02071;253;657;21438;;
02072;78;185;21087;;
02073;234;573;20951;;
02074;223;582;20062;;
02075;79;206;21184;;
02076;54;150;22760;;
02077;156;397;21914;;
02078;61;170;18058;;
02079;64;147;19277;;
02080;140;348;22919;;
02081;159;436;20313;;
02082;46;108;19768;;
02083;289;758;20764;;
02084;97;244;21753;;
02085;347;1076;21323;;
02086;412;1026;20831;;
02087;;;;;
02088;;;;;
02089;483;1111;20403;;
02090;78;216;20266;;
02091;39;100;21718;;
02093;523;1252;18014;;
02094;176;431;22177;;
02095;2334;5456;14451;38;57
02096;81;202;21468;;
02097;100;241;18859;;
02098;148;390;22106;;
02099;88;240;22127;;
02100;47;129;17585;;
02101;71;170;18726;;
02102;71;184;22140;;
02103;570;1286;18984;;
02104;;;;;
02105;75;194;19603;;
02106;284;717;18360;;
02107;33;102;15425;;
02108;62;165;22932;;
02109;199;493;18697;;
02110;900;2067;18358;19;36
02111;267;682;21264;;
02112;235;593;20158;;
02114;595;1385;21316;;
02115;85;218;19334;;
02116;56;146;20566;;
02117;;;;;
02118;45;117;20153;;
02119;126;318;20782;;
02120;77;205;19062;;
02121;91;249;18518;;
02122;;;;;
02123;126;300;19843;;
02124;274;647;19812;;
02125;65;187;20189;;
02126;198;460;16816;;
02127;80;188;20385;;
02128;668;1570;21852;;
02129;;;;;
02130;83;207;17880;;
02131;768;1915;21877;;
02132;76;210;21338;;
02133;178;404;17698;;
02134;357;860;18470;;
02135;459;1101;17046;;
02136;54;129;17943;;
02137;48;132;22990;;
02138;71;186;24961;;
02139;171;442;22102;;
02140;166;454;19837;;
02141;786;1648;16882;;
02142;87;246;22405;;
02143;81;193;17205;;
02144;50;142;22211;;
02145;224;580;20716;;
02146;;;;;
02148;100;253;19926;;
02149;;;;;
02150;;;;;
02151;50;118;25008;;
02152;;;;;
02153;316;790;20967;;
02154;139;380;20987;;
02155;78;176;21433;;
02156;99;256;20156;;
02157;350;838;21151;;
02158;106;276;18214;;
02159;114;288;18512;;
02160;215;543;17387;;
02162;100;282;19288;;
02163;1072;2563;19663;15;26
02164;125;326;19076;;
02165;710;1654;18813;;
02166;156;360;23151;;
02167;320;888;20766;;
02168;6805;15070;17643;24;34
02169;;;;;
02170;54;132;21754;;
02171;;;;;
02172;90;261;20772;;
02173;5344;11514;16535;28;41
02174;309;833;19500;;
02175;59;149;18726;;
02176;71;202;18082;;
02177;58;141;21378;;
02178;43;100;18520;;
02179;154;382;19942;;
02180;273;724;19383;;
02181;;;;;
02182;56;137;18360;;
02183;77;197;22629;;
02184;120;295;18797;;
02185;146;392;22579;;
02186;569;1319;22283;;
02187;488;1139;22270;;
02188;66;147;16844;;
02189;143;348;16802;;
02190;223;552;20278;;
02191;200;453;21440;;
02192;145;397;19579;;
02193;;;;;
02194;81;192;18893;;
02195;335;908;21337;;
02196;137;317;22139;;
02197;196;510;20701;;
02198;89;231;21488;;
02199;235;614;19852;;
02200;41;109;16792;;
02201;144;377;20933;;
02203;494;1272;18734;;
02204;;;;;
02205;83;231;18313;;
02206;;;;;
02207;84;215;21341;;
02208;105;289;21980;;
02209;263;619;18418;;
02210;142;364;20069;;
02211;120;288;20597;;
02212;286;696;20457;;
02213;123;321;21426;;
02214;;;;;
02215;287;713;20717;;
02216;126;319;21864;;
02217;380;909;19728;;
02218;250;625;19241;;
02219;74;196;20995;;
02220;175;429;20816;;
02221;57;150;21489;;
